freq,unit,sector,cofog99,na_item,geo,time,value
A,PC_GDP,S13,GF05,TE,AT,2015,0.4
A,PC_GDP,S13,GF05,TE,AT,2016,0.4
A,PC_GDP,S13,GF05,TE,AT,2017,0.4
A,PC_GDP,S13,GF05,TE,AT,2018,0.4
A,PC_GDP,S13,GF05,TE,AT,2019,0.4
A,PC_GDP,S13,GF05,TE,AT,2020,0.4
A,PC_GDP,S13,GF05,TE,AT,2021,0.4
A,PC_GDP,S13,GF05,TE,AT,2022,0.5
A,PC_GDP,S13,GF05,TE,AT,2023,0.6
A,PC_GDP,S13,GF05,TE,AT,2024,0.7
A,PC_GDP,S13,GF05,TE,BE,2015,1.3
A,PC_GDP,S13,GF05,TE,BE,2016,1.2
A,PC_GDP,S13,GF05,TE,BE,2017,1.3
A,PC_GDP,S13,GF05,TE,BE,2018,1.3
A,PC_GDP,S13,GF05,TE,BE,2019,1.3
A,PC_GDP,S13,GF05,TE,BE,2020,1.4
A,PC_GDP,S13,GF05,TE,BE,2021,1.4
A,PC_GDP,S13,GF05,TE,BE,2022,1.2
A,PC_GDP,S13,GF05,TE,BE,2023,1.2
A,PC_GDP,S13,GF05,TE,BE,2024,1.2
A,PC_GDP,S13,GF05,TE,BG,2015,0.8
A,PC_GDP,S13,GF05,TE,BG,2016,0.7
A,PC_GDP,S13,GF05,TE,BG,2017,0.7
A,PC_GDP,S13,GF05,TE,BG,2018,0.7
A,PC_GDP,S13,GF05,TE,BG,2019,0.7
A,PC_GDP,S13,GF05,TE,BG,2020,0.7
A,PC_GDP,S13,GF05,TE,BG,2021,0.8
A,PC_GDP,S13,GF05,TE,BG,2022,0.7
A,PC_GDP,S13,GF05,TE,BG,2023,0.6
A,PC_GDP,S13,GF05,TE,BG,2024,0.6
A,PC_GDP,S13,GF05,TE,CY,2015,0.7
A,PC_GDP,S13,GF05,TE,CY,2016,0.6
A,PC_GDP,S13,GF05,TE,CY,2017,0.5
A,PC_GDP,S13,GF05,TE,CY,2018,0.5
A,PC_GDP,S13,GF05,TE,CY,2019,0.5
A,PC_GDP,S13,GF05,TE,CY,2020,0.7
A,PC_GDP,S13,GF05,TE,CY,2021,0.7
A,PC_GDP,S13,GF05,TE,CY,2022,0.7
A,PC_GDP,S13,GF05,TE,CY,2023,0.7
A,PC_GDP,S13,GF05,TE,CY,2024,0.6
A,PC_GDP,S13,GF05,TE,CZ,2015,1.2
A,PC_GDP,S13,GF05,TE,CZ,2016,0.8
A,PC_GDP,S13,GF05,TE,CZ,2017,0.9
A,PC_GDP,S13,GF05,TE,CZ,2018,0.9
A,PC_GDP,S13,GF05,TE,CZ,2019,0.9
A,PC_GDP,S13,GF05,TE,CZ,2020,0.9
A,PC_GDP,S13,GF05,TE,CZ,2021,1.0
A,PC_GDP,S13,GF05,TE,CZ,2022,0.9
A,PC_GDP,S13,GF05,TE,CZ,2023,0.8
A,PC_GDP,S13,GF05,TE,CZ,2024,0.9
A,PC_GDP,S13,GF05,TE,DE,2015,0.5
A,PC_GDP,S13,GF05,TE,DE,2016,0.5
A,PC_GDP,S13,GF05,TE,DE,2017,0.5
A,PC_GDP,S13,GF05,TE,DE,2018,0.6
A,PC_GDP,S13,GF05,TE,DE,2019,0.6
A,PC_GDP,S13,GF05,TE,DE,2020,0.6
A,PC_GDP,S13,GF05,TE,DE,2021,0.5
A,PC_GDP,S13,GF05,TE,DE,2022,0.5
A,PC_GDP,S13,GF05,TE,DE,2023,0.5
A,PC_GDP,S13,GF05,TE,DE,2024,0.6
A,PC_GDP,S13,GF05,TE,DK,2015,0.4
A,PC_GDP,S13,GF05,TE,DK,2016,0.4
A,PC_GDP,S13,GF05,TE,DK,2017,0.4
A,PC_GDP,S13,GF05,TE,DK,2018,0.4
A,PC_GDP,S13,GF05,TE,DK,2019,0.4
A,PC_GDP,S13,GF05,TE,DK,2020,0.4
A,PC_GDP,S13,GF05,TE,DK,2021,0.4
A,PC_GDP,S13,GF05,TE,DK,2022,0.4
A,PC_GDP,S13,GF05,TE,DK,2023,0.4
A,PC_GDP,S13,GF05,TE,DK,2024,0.4
A,PC_GDP,S13,GF05,TE,EE,2015,0.7
A,PC_GDP,S13,GF05,TE,EE,2016,0.6
A,PC_GDP,S13,GF05,TE,EE,2017,0.7
A,PC_GDP,S13,GF05,TE,EE,2018,0.7
A,PC_GDP,S13,GF05,TE,EE,2019,0.7
A,PC_GDP,S13,GF05,TE,EE,2020,0.7
A,PC_GDP,S13,GF05,TE,EE,2021,0.6
A,PC_GDP,S13,GF05,TE,EE,2022,0.5
A,PC_GDP,S13,GF05,TE,EE,2023,0.7
